Link,RequisitionID,PayBand,HiringRange,RecruitmentType,Location
https://www.jobs.virginia.gov/jobs/orientation-mobility-specialist-sign-on-bonus-bvi00127-staunton-virginia-united-states,499667,4,"Salary range $47,476 - $87,831 ($10,000 Sign on Bonus)",General Public - G,Blind & Vision Impaired
https://www.jobs.virginia.gov/jobs/deputy-economist-richmond-virginia-united-states,499650,NA,"Commensurate with experience up to $166,000",General Public - G,Main Street Center
https://www.jobs.virginia.gov/jobs/trade-representative-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-county,499647,NA,"$42,000 - $47,000 annually",Agency Employee Only - A,VEC CENTRAL OFFICE
https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-montgomery-county-virginia-united-states,499629,4,"$52.953-$75,000",General Public - G,Christiansburg Residency
https://www.jobs.virginia.gov/jobs/auto-mechanics-instructor-wwrw0014-augusta-county-virginia-united-states,499635,4,Negotiable up to $65000.00,General Public - G,Wilson Wkfc Rehab Ctn
https://www.jobs.virginia.gov/jobs/junior-systems-analyst-richmond-virginia-united-states,499640,NA,"Minimum starting salary $52,356, commensurate with experience",General Public - G,RICHMOND HEADQUARTERS
https://www.jobs.virginia.gov/jobs/it-infrastructure-and-operations-manager-richmond-virginia-united-states,499627,NA,"$100,615 - $160,000",General Public - G,Annex Building
https://www.jobs.virginia.gov/jobs/human-resource-business-partner-richmond-virginia-united-states,499607,NA,Commensurate with experience,General Public - G,Main Street Center
https://www.jobs.virginia.gov/jobs/crew-leader-hampton-virginia-united-states-newport-news,499610,NA,"$38,126 - 50,000",General Public - G,Hampton Roads Harbor Tunnels
https://www.jobs.virginia.gov/jobs/special-education-and-student-support-assistant-chesterfield-virginia-united-states,499612,NA,"Commensurate up to $60,000",General Public - G,Bon Air JCC
https://www.jobs.virginia.gov/jobs/computer-center-lead-engineer-multi-hire-position-no-00364-and-01944-richmond-virginia-united-states,499594,NA,"Commensurate with experience, up to $120,000",General Public - G,IT SERVICES
https://www.jobs.virginia.gov/jobs/sr-software-engineer-position-no-01903-richmond-virginia-united-states,499590,NA,"Commensurate with experience, up to $115,000",General Public - G,IT SERVICES
https://www.jobs.virginia.gov/jobs/senior-construction-inspector-chesapeake-virginia-united-states,499598,NA,"$55,574 - $74,000",General Public - G,Interstate Management Office
https://www.jobs.virginia.gov/jobs/permanency-practice-consultant-sr-w5124-norfolk-virginia-united-states,499589,5,"$62,904 - $74,000/yr.",General Public - G,EASTERN REGIONAL & LICENSING
https://www.jobs.virginia.gov/jobs/peanut-inspector-01364-suffolk-virginia-united-states,499585,4,"Up to $50,000 annually. Excellent State Benefits",General Public - G,SUFFOLK-PEANUT OFFICE
https://www.jobs.virginia.gov/jobs/property-tax-director-richmond-virginia-united-states,499575,NA,Commensurate with experience,General Public - G,Main Street Center
https://www.jobs.virginia.gov/jobs/program-manager-senior-richmond-virginia-united-states-2f4fabd4-5959-4324-95ea-3f4dd16d9d5a,499573,NA,"$78,100 - $97,951",General Public - G,DSS HOME OFFICE
https://www.jobs.virginia.gov/jobs/field-staff-administrative-coordinator-division-of-state-parks-richmond-virginia-united-states,499572,5,"$65,000 - $75,000",General Public - G,Main Street Center
https://www.jobs.virginia.gov/jobs/cognitive-counselor-p-p-district-14-danville-p1451-danville-virginia-united-states,499516,NA,"$42,000 - $64,909",Agency Employee Only - A,Danville P&P
https://www.jobs.virginia.gov/jobs/medicolegal-death-investigator-supervisor-manassas-virginia-united-states,499275,5,"$64,500 - $77,000",General Public - G,CHIEF MEDICAL EXAMINER-NORTHERN
https://www.jobs.virginia.gov/jobs/dds-office-manager-arsd1155-henrico-virginia-united-states,499561,5,"Minimum salary is $75,000.",General Public - G,Aging & Rehab Svcs
https://www.jobs.virginia.gov/jobs/internal-auditor-washington-district-of-columbia-united-states-outside-of-state-q-z-radford-virginia-rappahannock-richmond-richmond-county-roanoke-roanoke-county-rockbridge-county-rockingham-,498900,NA,Commensurate with experience,General Public - G,Main Street Center
https://www.jobs.virginia.gov/jobs/maintenance-operator-mt-airy-ahq-pittsylvania-virginia-united-states-0dc17f01-ba6e-4395-9a94-b84715bd1295,499556,NA,"$33,005 - $53,633",General Public - G,Mt. Airy AHQ
https://www.jobs.virginia.gov/jobs/medical-reserve-corp-coordinator-wt056-franklin-virginia-united-states-isle-of-wight-southampton-suffolk,499216,NA,"$46,631.25 - $51,794.50",General Public - G,WESTERN TIDEWATER HQ
https://www.jobs.virginia.gov/jobs/admin-policy-coordinator-richmond-virginia-united-states,499488,4,"$60,000 - $70,000",General Public - G,Dept of Health
https://www.jobs.virginia.gov/jobs/deputy-revenue-forecaster-richmond-virginia-united-states,499558,NA,"Commensurate with experience up to $166,000",General Public - G,Main Street Center
https://www.jobs.virginia.gov/jobs/agricultural-outreach-specialist-harrisonburg-virginia-united-states-winchester,499452,NA,"$40,000 - $50,000 annually",General Public - G,HARRISONBURG
https://www.jobs.virginia.gov/jobs/customer-care-specialist-charlottesville-virginia-united-states,499550,NA,"$35,000-$40,000 with state benefits",General Public - G,"Charlottesville, Nat Resrcs Dr"
https://www.jobs.virginia.gov/jobs/uat-coordinator-richmond-virginia-united-states,499432,05,Commensurate with experience,Agency Employee Only - A,Westmoreland
https://www.jobs.virginia.gov/jobs/agricultural-outreach-specialist-fredericksburg-virginia-united-states-richmond-county,499458,NA,"$40,000 - $50,000 annually",General Public - G,FREDERICKSBURG
https://www.jobs.virginia.gov/jobs/program-consultant-sr-w2085-richmond-virginia-united-states,499225,5,"$65,000 - $75,000/yr.",General Public - G,DSS HOME OFFICE
https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-sussex-i-and-ii-prison-complex-sussex-virginia-united-states,499503,NA,"$33,000 - $46,444",General Public - G,Sussex II State Prison
