Title,EmploymentType,Location,ClosingDate,Agency,Link,DateFirstRetrieved
Office Manager - Sky Meadows State Park,Full-Time (Salaried),Fauquier County,2023-03-13T23:55:00Z,Dept Conservation & Recreation,https://www.jobs.virginia.gov/jobs/office-manager-sky-meadows-state-park-fauquier-county-virginia-united-states-725c1263-e288-4f6e-9e0c-73a5438a0bcd,2023-02-26
CO - P4603 - Land Application Permit Writer,Full-Time (Salaried),"Outside of State
  Washington
  Prince Georges, MD
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte County, Virginia
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Washington
  Prince Georges, MD",2023-03-10T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4603-land-application-permit-writer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,2023-02-26
Conservation Police First Sergeant,Full-Time (Salaried),Bedford County,2023-03-10T23:55:00Z,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-bedford-county-virginia-united-states,2023-02-26
Conservation Police First Sergeant,Full-Time (Salaried),King & Queen,2023-03-10T23:55:00Z,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-king-queen-virginia-united-states,2023-02-26
Regulatory Affairs Manager,Full-Time (Salaried),Henrico,2023-03-03T23:55:00Z,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/regulatory-affairs-manager-henrico-virginia-united-states,2023-02-26
Capital Asset Supervisor,Full-Time (Salaried),Richmond,2023-03-05T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/capital-asset-supervisor-richmond-virginia-united-states,2023-02-26
Food Operations Director: Coffeewood Correctional Center #00041,Full-Time (Salaried),Culpepper,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-director-coffeewood-correctional-center-00041-culpepper-virginia-united-states,2023-02-26
Fiscal Technician Senior: Virginia Correctional Center For Women #01138,Full-Time (Salaried),Goochland,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-senior-virginia-correctional-center-for-women-01138-goochland-virginia-united-states,2023-02-26
Fiscal Technician: Fluvanna Correctional Center For Women #00102,Full-Time (Salaried),Fluvanna,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-fluvanna-correctional-center-for-women-00102-fluvanna-virginia-united-states,2023-02-26
Application Developer,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/application-developer-richmond-virginia-united-states-f0d07cb6-13fe-43cf-a42a-1317ab1f457e,2023-02-26
Food Operations Assistant Director: Lunenburg Correctional Center #00042,Full-Time (Salaried),Lunenburg,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-lunenburg-correctional-center-00042-lunenburg-virginia-united-states,2023-02-26
Probation Officer: P&P District #40 Fincastle #P4011,Full-Time (Salaried),Botetourt County,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-40-fincastle-p4011-botetourt-county-virginia-united-states,2023-02-26
Appeals Examiner Sr.,Full-Time (Salaried),"Chesterfield
  Hanover
  Henrico
  Petersburg
  Richmond

            Chesterfield
  Hanover
  Henrico",NA,Virginia Employment Commission,https://www.jobs.virginia.gov/jobs/appeals-examiner-sr-chesterfield-virginia-united-states-hanover-henrico-petersburg,2023-02-26
BRRO - P4453 - MS4 Coordinator/Stormwater Inspector,Full-Time (Salaried),"Outside of State
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Washington
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Accomac
  Albemarle County",2023-03-10T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/brro-p4453-ms4-coordinator-stormwater-inspector-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-co,2023-02-26
Public Health Nurse,Full-Time (Salaried),Richmond,2023-03-08T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-richmond-virginia-united-states-2ad78849-1d25-43ec-ac2a-9d6d515bb07f,2023-02-26
Probation Officer: Cold Springs CCAP #01198,Full-Time (Salaried),Augusta County,2023-03-03T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-cold-springs-ccap-augusta-county-virginia-united-states,2023-02-26
Deputy Clerk - Danville,Full-Time (Salaried),Danville,2023-03-03T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-danville-danville-virginia-united-states,2023-02-26
Office Services Specialist,Full-Time (Salaried),Buckingham,2023-03-05T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-specialist-buckingham-virginia-united-states-b3b9b497-69ab-4944-8e6b-70de1db104ea,2023-02-26
Fee Processing Specialist,Full-Time (Salaried),Henrico,2023-03-05T23:55:00Z,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/fee-processing-specialist-henrico-virginia-united-states,2023-02-26
Traffic Engineer,Full-Time (Salaried),"Chesterfield
  Colonial Heights
  Hanover
  Henrico
  Richmond

            Chesterfield
  Colonial Heights
  Hanover",2023-03-10T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/traffic-engineer-chesterfield-virginia-united-states-colonial-heights-hanover-henrico-richmond,2023-02-26
Nutrition Education Liaison,Full-Time (Salaried),Richmond,2023-03-05T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/nutrition-education-liaison-richmond-virginia-united-states,2023-02-26
Deputy Clerk - Criminal - Fairfax,Full-Time (Salaried),Fairfax County,NA,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-criminal-fairfax-fairfax-county-virginia-united-states,2023-02-26
Probation Officer,Full-Time (Salaried),Amelia,2023-03-03T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-amelia-virginia-united-states,2023-02-26
Probation Officer,Full-Time (Salaried),Nottoway,2023-03-03T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-nottoway-virginia-united-states,2023-02-26
Alternate Project Delivery Senior Engineer,Full-Time (Salaried),Richmond,2023-03-24T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/alternate-project-delivery-senior-engineer-richmond-virginia-united-states,2023-02-26
Office Services Specialist,Full-Time (Salaried),"Danville
  Halifax
  Henry
  Martinsville
  Pittsylvania

            Danville
  Halifax
  Henry",2023-03-12T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-danville-virginia-united-states-halifax-henry-martinsville-pittsylvania,2023-02-26
Office Services Specialist,Full-Time (Salaried),Petersburg,2023-03-03T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-specialist-petersburg-virginia-united-states-aeb8b6ad-f6db-4d2e-8ae2-66a52d3e79ca,2023-02-26
Probation Officer,Full-Time (Salaried),Petersburg,2023-03-03T23:55:00Z,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-petersburg-virginia-united-states,2023-02-26
Inventory Specialist - #BVI00363,Full-Time (Salaried),Henrico,NA,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/inventory-specialist-bvi00363-henrico-virginia-united-states-2fe7feb7-3acd-4ab1-bf0d-791205a69976,2023-02-26
Training Manager - Hunter Education Program,Full-Time (Salaried),Henrico,2023-03-10T23:55:00Z,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/training-manager-hunter-education-program-henrico-virginia-united-states,2023-02-26
Assistant Internal Audit Director,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/assistant-internal-audit-director-richmond-virginia-united-states,2023-02-26
Area Forester-Rappahannock District,Full-Time (Salaried),Spotsylvania,2023-03-10T23:55:00Z,Department of Forestry,https://www.jobs.virginia.gov/jobs/area-forester-rappahannock-district-spotsylvania-virginia-united-states,2023-02-26
Veterans Services Representative - Pentagon,Full-Time (Salaried),Arlington,2023-03-03T23:55:00Z,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/veterans-services-representative-pentagon-fairfax-county-virginia-united-states,2023-02-26
Medical Evaluator Senior 03991,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/medical-evaluator-senior-03991-richmond-virginia-united-states,2023-02-26
Conservation Police First Sergeant,Full-Time (Salaried),Pulaski,2023-03-10T23:55:00Z,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/conservation-police-first-sergeant-pulaski-virginia-united-states,2023-02-26
Deputy Clerk - Traffic - VA Beach,Full-Time (Salaried),Virginia Beach,2023-03-10T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-traffic-va-beach-virginia-beach-virginia-united-states-cdc1573a-e7fb-4f56-a5d7-f8df44da9aae,2023-02-26
Real Estate Legal Specialist - DR008,Full-Time (Salaried),Richmond,NA,Department of General Services,https://www.jobs.virginia.gov/jobs/real-estate-legal-specialist-dr008-richmond-virginia-united-states,2023-02-26
Lead Senior Contract Officer - 0P015,Full-Time (Salaried),Richmond,NA,Department of General Services,https://www.jobs.virginia.gov/jobs/lead-senior-contract-officer-0p015-richmond-virginia-united-states,2023-02-26
Deputy Clerk - Emporia/Greensville,Full-Time (Salaried),Emporia,2023-03-10T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-emporia-greensville-emporia-virginia-united-states,2023-02-26
Deputy Clerk - Arlington,Full-Time (Salaried),Arlington,2023-03-06T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-arlington-arlington-virginia-united-states,2023-02-26
Supervising Deputy Clerk - Arlington,Full-Time (Salaried),Arlington,2023-03-06T23:55:00Z,Supreme Court,https://www.jobs.virginia.gov/jobs/supervising-deputy-clerk-arlington-arlington-virginia-united-states,2023-02-26
Identity and Access Management (IAM) Lead,Full-Time (Salaried),Richmond,2023-03-31T23:55:00Z,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/identity-and-access-management-iam-lead-richmond-virginia-united-states,2023-02-26
CO - P4094 &amp; P4120 - Water Withdrawal Compliance Coordinator,Full-Time (Salaried),Richmond,2023-03-03T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4094-amp-p4120-water-withdrawal-compliance-coordinator-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath,2023-02-26
Infrastructure Integrations Manager,Full-Time (Salaried),Richmond,2023-03-03T23:55:00Z,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/infrastructure-integrations-manager-richmond-virginia-united-states,2023-02-26
Public Health Nurse Supervisor,Full-Time (Salaried),Richmond,2023-03-07T23:55:00Z,Department of Health,https://www.jobs.virginia.gov/jobs/public-health-nurse-supervisor-richmond-virginia-united-states,2023-02-26
Maintenance Supervisor,Full-Time (Salaried),"Hampton
  Newport News",2023-03-12T23:55:00Z,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-hampton-virginia-united-states-newport-news,2023-02-26
Probation Officer: P&P District #18 Norton #P1819,Full-Time (Salaried),Norton,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-18-norton-p1819-norton-virginia-united-states,2023-02-26
Policy Analyst #01049,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/policy-analyst-01049-richmond-virginia-united-states,2023-02-26
Associate Director (Energy Efficiency and Housing Rehabilitation),Full-Time (Salaried),Richmond,2023-03-17T23:55:00Z,Dept of Housing & Cmnty Devel,https://www.jobs.virginia.gov/jobs/associate-director-energy-efficiency-and-housing-rehabilitation-richmond-virginia-united-states,2023-02-26
Mitigation Specialist - Staunton,Full-Time (Salaried),Staunton,2023-03-10T23:55:00Z,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-staunton-staunton-virginia-united-states-62c5003a-7985-4286-bff2-d8edbfb32d9e,2023-02-26
"Manager, Office of Water Supply",Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/manager-office-of-water-supply-richmond-virginia-united-states,2023-02-26
Audit & Financial Review Team Supervisor #01262,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/audit-financial-review-team-supervisor-01262-richmond-virginia-united-states,2023-02-26
Certification Specialist – Commercial (Pesticide) #01330,Full-Time (Salaried),Richmond,2023-03-10T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/certification-specialist-commercial-pesticide-01330-richmond-virginia-united-states,2023-02-26
Environmental Health Specialist,Full-Time (Salaried),Staunton,NA,Department of Health,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-staunton-virginia-united-states,2023-02-26
Office Services Specialist,Full-Time (Salaried),Harrisonburg,NA,Department of Health,https://www.jobs.virginia.gov/jobs/office-services-specialist-harrisonburg-virginia-united-states,2023-02-26
Program Budget & Finance Supervisor #W2119,Full-Time (Salaried),Richmond,2023-03-05T23:55:00Z,Department of Social Services,https://www.jobs.virginia.gov/jobs/program-budget-finance-supervisor-w2119-richmond-virginia-united-states,2023-02-26
Physical Therapy Assistant #00261; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/physical-therapy-assistant-00261-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
"Agricultural Commodities Inspector (animal feed, fertilizer, lime, seed)  #01288",Full-Time (Salaried),"Alexandria
  Arlington
  Clarke, Virginia
  Culpepper
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Fredericksburg
  Greene
  Loudoun County
  Madison
  Manassas
  Manassas Park
  Orange
  Page
  Prince William
  Rappahannock
  Warren
  Winchester

            Alexandria
  Arlington
  Clarke, Virginia",2023-03-31T23:55:00Z,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/agricultural-commodities-inspector-animal-feed-fertilizer-lime-seed-01288-alexandria-virginia-united-states-arlington-clarke-virginia-culpepper-fairfax-fairfax-county-falls-church-fauquier-co,2023-02-26
Maintenance & Operations Supervisor - #BVI00113,Full-Time (Salaried),Richmond,NA,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/maintenance-operations-supervisor-bvi00113-richmond-virginia-united-states,2023-02-26
Registered Nurse Supervisor Senior (RNCB) #00253; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-senior-rncb-00253-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Vocational Rehabilitation Counselor - #ARS01166,Full-Time (Salaried),Newport News,NA,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-ars01166-newport-news-virginia-united-states,2023-02-26
Assistant Store Manager (ATF) - #BVIIS072,Full-Time (Salaried),Washington,NA,Dept for Blind/Vision Impaired,https://www.jobs.virginia.gov/jobs/assistant-store-manager-atf-bviis072-virginia-united-states-washington-district-of-columbia,2023-02-26
Virginia Values Veterans (V3) Western Transition Coordinator-Roanoke,Full-Time (Salaried),Roanoke,2023-03-10T23:55:00Z,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/virginia-values-veterans-v3-western-transition-coordinator-roanoke-roanoke-virginia-united-states,2023-02-26
Building and Grounds Supervisor: Cold Springs CCAP #01163,Full-Time (Salaried),Augusta County,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/building-and-grounds-supervisor-cold-springs-ccap-01163-augusta-county-virginia-united-states,2023-02-26
Office Services Assistant: P&P District #28 Radford #P2804,Full-Time (Salaried),Radford,2023-03-10T23:55:00Z,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-p-p-district-28-radford-p2804-radford-virginia-united-states,2023-02-26
Nurse Practitioner (Hourly) : Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/nurse-practitioner-hourly-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Registered Nurse Supervisor : Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Registered Nurse : Cofeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-cofeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Laboratory Technician Senior : Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/laboratory-technician-senior-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Program Support Technician (Health Services) : Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Licensed Practical Nurse : Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Physician MD : Coffeewood Correctional Center,Full-Time (Salaried),Culpepper,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/physician-md-coffeewood-correctional-center-culpepper-virginia-united-states,2023-02-26
Physician MD #00251; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/physician-md-00251-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Dental Assistant #00683; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/dental-assistant-00683-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Mental Health Clinician; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Nurse Practitioner #00252; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/nurse-practitioner-00252-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Laboratory Technician Senior #00272; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/laboratory-technician-senior-00272-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Program Support Technician (Health Services); Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-health-services-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Registered Nurse Supervisor (RNCA) #00254; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-supervisor-rnca-00254-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Registered Nurse; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/registered-nurse-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
Licensed Practical Nurse; Augusta Correctional Center,Full-Time (Salaried),Augusta County,NA,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/licensed-practical-nurse-augusta-correctional-center-augusta-county-virginia-united-states,2023-02-26
