Link,RequisitionID,PayBand,HiringRange,RecruitmentType,Location
https://www.jobs.virginia.gov/jobs/systems-analyst-entry-w2252-richmond-virginia-united-states,498604,5,"$63,000 - $78,750/yr.",General Public - G,DSS HOME OFFICE
https://www.jobs.virginia.gov/jobs/institutional-operations-manager-sussex-i-sussex-ii-state-prison-complex-00803-sussex-virginia-united-states,498659,NA,"$50,811 - $83,329.00",General Public - G,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/unit-manager-sussex-state-prison-complex-00651-sussex-virginia-united-states,498658,NA,"$53,352 - $83,329",Agency Employee Only - A,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/office-services-specialist-records-sussex-state-prison-complex-00033-sussex-virginia-united-states,498657,NA,"$31,200 - $41,576",General Public - G,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/corrections-captain-sussex-i-sussex-ii-prison-complex-00530-sussex-virginia-united-states,498656,NA,"$59,143 - $96,315",Agency Employee Only - A,Sussex II State Prison
https://www.jobs.virginia.gov/jobs/secretary-senior-sussex-state-prison-complex-00138-sussex-virginia-united-states,498655,NA,"$31,200 - $41,576",General Public - G,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/casework-counselor-senior-sussex-state-prison-complex-00529-sussex-virginia-united-states,498457,NA,"$42,000 - $64,909",Agency Employee Only - A,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-sussex-state-prison-complex-00017-sussex-virginia-united-states,498458,NA,"$34,818 - $54,317",General Public - G,Sussex I State Prison
https://www.jobs.virginia.gov/jobs/web-content-manager-richmond-virginia-united-states-1190c786-c8da-483e-988b-eb28aaaea08e,498654,NA,"$60,000 annually",General Public - G,MAIN MUSEUM
https://www.jobs.virginia.gov/jobs/financial-reporting-analyst-richmond-virginia-united-states,498640,NA,"59,850 - 73,500",General Public - G,Richmond
https://www.jobs.virginia.gov/jobs/senior-real-estate-transaction-manager-dr013-richmond-virginia-united-states,498634,NA,"$85,000 - $90,000",General Public - G,Washington Building
https://www.jobs.virginia.gov/jobs/office-manager-sky-meadows-state-park-fauquier-county-virginia-united-states-725c1263-e288-4f6e-9e0c-73a5438a0bcd,498628,NA,"$37,042 - $52,500",General Public - G,Sky Meadows State Park
https://www.jobs.virginia.gov/jobs/co-p4603-land-application-permit-writer-accomac-virginia-united-states-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bla,498579,5,"$50,811 - $85,000",General Public - G,Dept of Environmental Quality
https://www.jobs.virginia.gov/jobs/food-operations-director-coffeewood-correctional-center-00041-culpepper-virginia-united-states,498472,NA,"$50,811 - $83,329",General Public - G,Coffeewood Correctional Center
https://www.jobs.virginia.gov/jobs/fiscal-technician-senior-virginia-correctional-center-for-women-01138-goochland-virginia-united-states,498476,NA,"$38,000 - $54,317",General Public - G,Virginia Corr Ctr For Women
https://www.jobs.virginia.gov/jobs/fiscal-technician-fluvanna-correctional-center-for-women-00102-fluvanna-virginia-united-states,498474,NA,"$33,000 - $46,444",General Public - G,Fluvanna Correctional Center
https://www.jobs.virginia.gov/jobs/application-developer-richmond-virginia-united-states-f0d07cb6-13fe-43cf-a42a-1317ab1f457e,498603,NA,"The anticipated starting salary range is $75,000 to $91,000",General Public - G,Dept of Criminal Justice Serv.
https://www.jobs.virginia.gov/jobs/food-operations-assistant-director-lunenburg-correctional-center-00042-lunenburg-virginia-united-states,498573,NA,"$43,890 - $64,909",General Public - G,Lunenburg Correctional Center
