Title,EmploymentType,Location,Closingdate,Agency,Link,ClosingDate2
Assistant District Land Use Manager,Full-Time (Salaried),Fairfax County,Mar 9 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-district-land-use-manager-fairfax-county-virginia-united-states,2023-03-09T23:55:00Z
Food Production Worker B,Full-Time (Salaried),North Chesterfield,Mar 3 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/food-production-worker-b-north-chesterfield-virginia-united-states,2023-03-03T23:55:00Z
Chief Deputy Clerk - Prince William,Full-Time (Salaried),Prince William,Feb 27 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/chief-deputy-clerk-prince-william-prince-william-virginia-united-states,2023-02-27T23:55:00Z
Senior Accountant - #ARS00419,Full-Time (Salaried),Henrico,Mar 6 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/senior-accountant-ars00419-henrico-virginia-united-states,2023-03-06T23:55:00Z
Program Support Technician (Peer Recovery Specialist): Brunswick CCAP #01577,Full-Time (Salaried),Brunswick,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-peer-recovery-specialist-brunswick-ccap-01577-brunswick-virginia-united-states,2023-03-06T23:55:00Z
Equipment Repair Technician Senior: State Farm #01587,Full-Time (Salaried),Goochland,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-senior-state-farm-01587-goochland-virginia-united-states,2023-03-06T23:55:00Z
Deputy Clerk - Suffolk,Full-Time (Salaried),Suffolk,Feb 27 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/deputy-clerk-suffolk-suffolk-virginia-united-states,2023-02-27T23:55:00Z
Suicide Prevention Coordinator,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/suicide-prevention-coordinator-richmond-virginia-united-states,2023-03-03T23:55:00Z
Probation Officer,Full-Time (Salaried),Spotsylvania,Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-spotsylvania-virginia-united-states,2023-02-26T23:55:00Z
HR Business Analyst #W2448,Full-Time (Salaried),Richmond,Feb 26 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/hr-business-analyst-w2448-richmond-virginia-united-states,2023-02-26T23:55:00Z
Program Support Technician (Peer Recovery Specialist): Tazewell P&P District #43 #01576,Full-Time (Salaried),Tazewell,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/program-support-technician-peer-recovery-specialist-tazewell-p-p-district-43-01576-tazewell-virginia-united-states,2023-03-06T23:55:00Z
Plant Manager: Augusta Correctional Center #00055,Full-Time (Salaried),Augusta County,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plant-manager-augusta-correctional-center-00055-augusta-county-virginia-united-states,2023-03-06T23:55:00Z
Data Integration Specialist : #01478,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/data-integration-specialist-01478-richmond-virginia-united-states,2023-03-06T23:55:00Z
Probation Officer,Full-Time (Salaried),"Hanover
  Henrico
  Richmond",Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-hanover-virginia-united-states-henrico-richmond,2023-02-26T23:55:00Z
Claims Examiner,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/claims-examiner-richmond-virginia-united-states,2023-03-03T23:55:00Z
Senior Human Resources Information Management Analyst,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-human-resources-information-management-analyst-richmond-virginia-united-states,2023-03-03T23:55:00Z
Probation Officer,Full-Time (Salaried),Henrico,Feb 24 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-henrico-virginia-united-states,2023-02-24T23:55:00Z
Unclaimed Restitution Specialist,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,VA Workers' Compensation Comm,https://www.jobs.virginia.gov/jobs/unclaimed-restitution-specialist-richmond-virginia-united-states,2023-03-03T23:55:00Z
Mental Health Clinician I - Dillwyn Correctional Center,Full-Time (Salaried),Buckingham,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-dillwyn-correctional-center-buckingham-virginia-united-states,NA
Accountant III (Hybrid),Full-Time (Salaried),Richmond,Mar 23 2023 at 23:55 EDT,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/accountant-iii-hybrid-richmond-virginia-united-states,2023-03-23T23:55:00Z
Probation Officer,Full-Time (Salaried),Roanoke,Feb 26 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-roanoke-virginia-united-states,2023-02-26T23:55:00Z
CO - P4218 - Compensation & Benefits Specialist,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/compensation-benefits-coordinator-richmond-virginia-united-states,2023-02-27T23:55:00Z
"Facility Services Associate, Night",Full-Time (Salaried),Richmond,Feb 28 2023 at 23:55 EST,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/facility-services-associate-night-richmond-virginia-united-states,2023-02-28T23:55:00Z
Lead Horticulturist,Full-Time (Salaried),Richmond,,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/lead-horticulturist-richmond-virginia-united-states,NA
Equipment Repair Supervisor: St. Brides Correctional Center #00008,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/equipment-repair-supervisor-chesapeake-virginia-united-states,NA
Casework Counselor Senior: St. Brides Correctional Center #00427,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-senior-chesapeake-virginia-united-states,NA
Recreation Supervisor: St. Brides Correctional Center #00087,Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/recreation-supervisor-st-brides-correctional-center-chesapeake-virginia-united-states,2023-02-27T23:55:00Z
Food Operations Supervisor: St. Brides Correctional Center #00443,Full-Time (Salaried),Chesapeake,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-st-brides-correctional-center-chesapeake-virginia-united-states,2023-02-27T23:55:00Z
Fiscal Technician: St. Brides Correctional Center #00322,Full-Time (Salaried),Chesapeake,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-st-brides-correctional-center-chesapeake-virginia-united-states,NA
Adult Education Teacher: Greensville Correctional Center #ED011,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/adult-education-teacher-jarratt-virginia-united-states,NA
Upholstery Teacher: Greensville Correctional Center #ED018,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/upholstery-teacher-jarratt-virginia-united-states,NA
Corrections Sergeant (Multiple Vacancies): Greensville Correctional Center #00072,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-sergeant-greensville-correctional-center-00072-greensville-virginia-united-states,NA
Corrections Lieutenant (Multiple Vacancies): Greensville Correctional Center #00059,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-greensville-correctional-center-00059-greensville-virginia-united-states,NA
Food Operations Supervisor (Multiple Vacancies): Greensville Correctional Center #01231,Full-Time (Salaried),Greensville,,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-multiple-vacancies-jarratt-virginia-united-states,NA
CO- P0170 - Environmental Justice Coordinator,Full-Time (Salaried),"Harrisonburg
  Henrico
  Lynchburg
  Richmond
  Roanoke

            Harrisonburg
  Henrico
  Lynchburg",Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0170-environmental-justice-coordinator-harrisonburg-virginia-united-states-henrico-lynchburg-richmond-roanoke,2023-02-27T23:55:00Z
CO - P1142 - Deputy Director for HR Operations,Full-Time (Salaried),Richmond,Feb 27 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p1142-deputy-director-for-hr-operations-richmond-virginia-united-states,2023-02-27T23:55:00Z
Plumber/Steamfitter Supervisor,Full-Time (Salaried),Nottoway,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/plumber-steamfitter-supervisor-burkeville-virginia-united-states,2023-02-27T23:55:00Z
Corrections Lieutenant,Full-Time (Salaried),Culpepper,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-lieutenant-mitchells-virginia-united-states,2023-02-27T23:55:00Z
Office Services Assistant - Treatment,Full-Time (Salaried),Fluvanna,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-treatment-troy-virginia-united-states,2023-03-06T23:55:00Z
Technology Procurement Analyst,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/technology-procurement-analyst-richmond-virginia-united-states,2023-03-06T23:55:00Z
Production Technician,Full-Time (Salaried),Powhatan,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/production-technician-state-farm-virginia-united-states,2023-03-06T23:55:00Z
Casework Counselor,Full-Time (Salaried),Culpepper,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/casework-counselor-mitchells-virginia-united-states-db2d85c8-4bc8-4017-9b39-eb3b4a505f3a,2023-03-06T23:55:00Z
Food Operations Supervisor,Full-Time (Salaried),Halifax,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-south-boston-virginia-united-states,2023-02-27T23:55:00Z
Office Services Specialist,Full-Time (Salaried),Fluvanna,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-specialist-troy-virginia-united-states,2023-02-27T23:55:00Z
CO - P4454 - Stormwater Plan Reviewer,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4420-stormwater-plan-reviewer-richmond-virginia-united-states,2023-03-03T23:55:00Z
CO - P4551 - Stormwater and Erosion & Sediment Control Plan Reviewer,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p4551-stormwater-and-erosion-sediment-control-plan-reviewer-richmond-virginia-united-states,2023-03-03T23:55:00Z
Program Support Specialist,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Criminal Justice Svcs,https://www.jobs.virginia.gov/jobs/program-support-specialist-richmond-virginia-united-states,2023-02-24T23:55:00Z
Maintenance Operation Manager,Full-Time (Salaried),Bristol,Feb 26 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operation-manager-wise-virginia-united-states,2023-02-26T23:55:00Z
P0700 - Environmental Specialist II (Business Analyst),Full-Time (Salaried),Richmond,,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/p0700-environmental-specialist-ii-business-analyst-richmond-virginia-united-states,NA
Air Permit Writer,Full-Time (Salaried),Virginia Beach,Feb 24 2023 at 23:55 EST,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/air-permit-writer-virginia-beach-virginia-united-states,2023-02-24T23:55:00Z
Equipment Repair Technician - Franklin Equipment Shop,Full-Time (Salaried),Southampton,Feb 27 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/equipment-repair-technician-franklin-equipment-shop-franklin-virginia-united-states,2023-02-27T23:55:00Z
Office Services Assistant (Community Corrections): P&P District #07/Petersburg - #P0710,Full-Time (Salaried),Petersburg,Feb 27 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/office-services-assistant-community-corrections-p-p-district-07-petersburg-p0710-newport-news-virginia-united-states,2023-02-27T23:55:00Z
Senior Engineering Technician- Concrete & Materials,Full-Time (Salaried),Fairfax County,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-materials-engineering-technician-fairfax-virginia-united-states,2023-03-03T23:55:00Z
Help Desk Technician,Full-Time (Salaried),Chesterfield,,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/help-desk-technician-chesterfield-virginia-united-states,NA
Magistrate - Prince George,Full-Time (Salaried),Prince George,Feb 24 2023 at 23:55 EST,Supreme Court,https://www.jobs.virginia.gov/jobs/magistrate-prince-george-prince-george-virginia-united-states,2023-02-24T23:55:00Z
Utilities Trades Tech Sr,Full-Time (Salaried),Nottoway,,Department of Military Affairs,https://www.jobs.virginia.gov/jobs/utilities-trades-tech-sr-blackstone-virginia-united-states,NA
Meat and Poultry Enforcement Officer (Culpeper/Fauquier),Full-Time (Salaried),"Culpepper
  Fauquier County",Mar 3 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/meat-and-poultry-enforcement-officer-culpeper-fauquier-culpepper-virginia-united-states-fauquier-county,2023-03-03T23:55:00Z
Meat and Poultry Enforcement Officer (Southwest),Full-Time (Salaried),"Bland
  Buchanan
  Carroll
  Dickenson
  Floyd
  Franklin County
  Giles, Virginia
  Grayson
  Henry
  Lee
  Patrick
  Pittsylvania
  Pulaski
  Russell
  Scott
  Smyth
  Tazewell
  Washington
  Wise, Virginia
  Wythe

            Bland
  Buchanan
  Carroll",Mar 3 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/meat-and-poultry-enforcement-officer-southwest-bland-virginia-united-states-buchanan-carroll-dickenson-floyd-franklin-county-giles-virginia-grayson-henry-lee-patrick-pittsylvania-pulaski-russ,2023-03-03T23:55:00Z
DMV Customer Service Center Assistant Manager,Full-Time (Salaried),Fairfax County,Feb 28 2023 at 23:55 EST,Department of Motor Vehicles,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-fairfax-county-virginia-united-states,2023-02-28T23:55:00Z
Peanut Mill Inspector/Sampler,Full-Time (Salaried),Suffolk,Feb 24 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/peanut-mill-inspector-sampler-suffolk-virginia-united-states,2023-02-24T23:55:00Z
Maintenance Infrastructure Manager – Lynchburg District,Full-Time (Salaried),Lynchburg,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-infrastructure-manager-lynchburg-district-lynchburg-virginia-united-states,NA
Life Safety Systems Technician,Full-Time (Salaried),Richmond,,Virginia Museum of Fine Arts,https://www.jobs.virginia.gov/jobs/life-safety-systems-technician-richmond-virginia-united-states,NA
V3 Central and Southwest Regional Director,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/v3-central-and-southwest-regional-director-richmond-virginia-united-states,2023-03-03T23:55:00Z
V3 North Regional Program Director-Fairfax,Full-Time (Salaried),Fairfax,Mar 3 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/v3-north-regional-program-director-fairfax-fairfax-virginia-united-states,2023-03-03T23:55:00Z
Power Plant Lead Worker: Augusta Correctional Center #01753,Full-Time (Salaried),Augusta County,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/power-plant-lead-worker-augusta-correctional-center-01753-augusta-county-virginia-united-states,2023-03-03T23:55:00Z
Corrections Officer: Patrick Henry Correctional Unit 28 #28008,Full-Time (Salaried),Henry,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/corrections-officer-patrick-henry-correctional-unit-28-28008-henry-virginia-united-states,2023-03-03T23:55:00Z
Inmate Grievance Coordinator: Red Onion State Prison #00512,Full-Time (Salaried),"Wise, Virginia",Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-red-onion-state-prison-00512-wise-virginia-virginia-united-states,2023-03-03T23:55:00Z
Food Operations Supervisor: Green Rock Correctional Center #00030,Full-Time (Salaried),Pittsylvania,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-supervisor-green-rock-correctional-center-00030-pittsylvania-virginia-united-states,2023-03-03T23:55:00Z
Fiscal Technician: Keen Mountain Correctional Center #00020,Full-Time (Salaried),Buchanan,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-keen-mountain-correctional-center-00020-buchanan-virginia-united-states,2023-03-03T23:55:00Z
Human Resources Assistant: River North Correctional Center #00013,Full-Time (Salaried),Grayson,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-assistant-river-north-correctional-center-00013-grayson-virginia-united-states,2023-03-03T23:55:00Z
Food Operations Director: ASD West Campus #00027,Full-Time (Salaried),Smyth,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/food-operations-director-asd-west-campus-00027-smyth-virginia-united-states,2023-03-03T23:55:00Z
Human Resources Assistant: Green Rock Correctional Center #00019,Full-Time (Salaried),Pittsylvania,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/human-resources-assistant-green-rock-correctional-center-00019-pittsylvania-virginia-united-states,2023-03-03T23:55:00Z
Recruiter (Health Services) - Department of Corrections,Full-Time (Salaried),"Chesterfield
  Henrico
  Richmond",Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/recruiter-health-services-department-of-corrections-chesterfield-virginia-united-states-henrico-richmond,2023-02-24T23:55:00Z
Inmate Grievance Coordinator: Greensville Correctional Center #00896,Full-Time (Salaried),Greensville,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/inmate-grievance-coordinator-greensville-correctional-center-00896-greensville-virginia-united-states,2023-03-06T23:55:00Z
Fiscal Technician: Greensville Correctional #00892,Full-Time (Salaried),Greensville,Mar 6 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/fiscal-technician-greensville-correctional-00892-greensville-virginia-united-states,2023-03-06T23:55:00Z
Probation Officer: P&P District #28 Radford #P2811,Full-Time (Salaried),Radford,Mar 3 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/probation-officer-p-p-district-28-radford-p2811-radford-virginia-united-states,2023-03-03T23:55:00Z
Probation Officer,Full-Time (Salaried),"Loudoun County
  Warren
  Washington",Mar 1 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-officer-loudoun-county-virginia-united-states-warren-washington,2023-03-01T23:55:00Z
Attorney - Senior Assistant Public Defender - Chesterfield,Full-Time (Salaried),Chesterfield,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-senior-assistant-public-defender-chesterfield-chesterfield-virginia-united-states,2023-03-09T23:55:00Z
Telecommunications Engineer - APCO,Full-Time (Salaried),North Chesterfield,Mar 2 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/telecommunications-engineer-apco-north-chesterfield-virginia-united-states,2023-03-02T23:55:00Z
Business Systems Analyst,Full-Time (Salaried),North Chesterfield,Mar 2 2023 at 23:55 EST,Department of State Police,https://www.jobs.virginia.gov/jobs/business-systems-analyst-north-chesterfield-virginia-united-states,2023-03-02T23:55:00Z
Regulatory Affairs Manager,Full-Time (Salaried),Henrico,Feb 27 2023 at 23:55 EST,Dept of Prof & Occup Reg,https://www.jobs.virginia.gov/jobs/regulatory-affairs-manager-henrico-virginia-united-states,2023-02-27T23:55:00Z
Maintenance Operator (Toms Brook),Full-Time (Salaried),Shenandoah,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-toms-brook-shenandoah-virginia-united-states,NA
Senior Design Engineer - Structure and Bridge,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-design-engineer-structure-and-bridge-richmond-virginia-united-states,2023-03-06T23:55:00Z
Accounting Manager,Full-Time (Salaried),Henrico,Mar 1 2023 at 23:55 EST,Department of Fire Programs,https://www.jobs.virginia.gov/jobs/accounting-manager-henrico-virginia-united-states,2023-03-01T23:55:00Z
Web Application Developer Analyst,Full-Time (Salaried),Richmond,Mar 8 2023 at 23:55 EST,Department of Social Services,https://www.jobs.virginia.gov/jobs/web-application-developer-analyst-richmond-virginia-united-states,2023-03-08T23:55:00Z
Highway Maintenance Supervisor,Full-Time (Salaried),Wythe,Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-bristol-virginia-united-states-wythe,2023-03-03T23:55:00Z
Fiscal Technician Senior - CF275,Full-Time (Salaried),Richmond,Mar 2 2023 at 23:55 EST,Department of Forensic Science,https://www.jobs.virginia.gov/jobs/fiscal-technician-senior-cf275-richmond-virginia-united-states,2023-03-02T23:55:00Z
Financial Manager,Full-Time (Salaried),Richmond,Mar 3 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/financial-manager-richmond-virginia-united-states,2023-03-03T23:55:00Z
Probation Supervisor,Full-Time (Salaried),Winchester,Mar 1 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/probation-supervisor-winchester-virginia-united-states,2023-03-01T23:55:00Z
Attorney - Assistant Public Defender I/II - Chesterfield,Full-Time (Salaried),Chesterfield,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/attorney-assistant-public-defender-i-ii-chesterfield-chesterfield-virginia-united-states,2023-03-09T23:55:00Z
"Vocational Rehabilitation Counselor / Trainee - #ARS00752, ARS00034",Full-Time (Salaried),Roanoke County,Mar 3 2023 at 23:55 EST,Dept for Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/vocational-rehabilitation-counselor-trainee-ars00752-ars00034-roanoke-county-virginia-united-states,2023-03-03T23:55:00Z
Mitigation Specialist - Suffolk,Full-Time (Salaried),Suffolk,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-suffolk-suffolk-virginia-united-states,2023-03-09T23:55:00Z
Mitigation Specialist - Hampton,Full-Time (Salaried),Hampton,Mar 9 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/mitigation-specialist-hampton-hampton-virginia-united-states,2023-03-09T23:55:00Z
Maintenance Operator – Phenix AHQ,Full-Time (Salaried),"Charlotte Court House, Virginia",Mar 3 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/maintenance-operator-phenix-ahq-charlottesville-virginia-united-states,2023-03-03T23:55:00Z
Construction Engineer,Full-Time (Salaried),Richmond,Mar 6 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/construction-engineer-richmond-virginia-united-states,2023-03-06T23:55:00Z
Legal Assistant - Virginia Beach,Full-Time (Salaried),Virginia Beach,Mar 2 2023 at 23:55 EST,Indigent Defense Commission,https://www.jobs.virginia.gov/jobs/legal-assistant-virginia-beach-virginia-beach-virginia-united-states,2023-03-02T23:55:00Z
Office Services Specialist,Full-Time (Salaried),Richmond,Feb 25 2023 at 23:55 EST,Department of Juvenile Justice,https://www.jobs.virginia.gov/jobs/office-services-specialist-richmond-virginia-united-states-1b4e579d-7960-41bb-90cb-b570fbeed92c,2023-02-25T23:55:00Z
Engineer Structure and Bridge Inspection Moveable,Full-Time (Salaried),Suffolk,Mar 5 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/engineer-structure-and-bridge-inspection-moveable-suffolk-virginia-united-states,2023-03-05T23:55:00Z
Telecommunications Technician Specialist,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Department of Taxation,https://www.jobs.virginia.gov/jobs/telecommunications-technician-specialist-richmond-virginia-united-states,2023-02-24T23:55:00Z
Veterinary Diagnostician/Laboratory Director (DVM Required) $10K Sign-On Bonus,Full-Time (Salaried),Lynchburg,Mar 16 2023 at 23:55 EDT,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/veterinary-diagnostician-laboratory-director-dvm-required-10k-sign-on-bonus-lynchburg-virginia-united-states,2023-03-16T23:55:00Z
Assistant District Administrator Business,Full-Time (Salaried),Colonial Heights,Feb 24 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/assistant-district-administrator-business-colonial-heights-virginia-united-states,2023-02-24T23:55:00Z
Legal and Regulatory Specialist,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,Dept of Corr - Central Admin,https://www.jobs.virginia.gov/jobs/legal-and-regulatory-specialist-richmond-virginia-united-states,2023-02-24T23:55:00Z
Staff Attorney/Supreme Court of Virginia/Office of the Chief Staff Attorney,Full-Time (Salaried),Richmond,Mar 31 2023 at 23:55 EDT,Supreme Court,https://www.jobs.virginia.gov/jobs/staff-attorney-richmond-virginia-united-states,2023-03-31T23:55:00Z
Operator Traffic - NRO Sign Crew,Full-Time (Salaried),"Manassas
  Prince William",Mar 2 2023 at 23:55 EST,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/operator-traffic-nro-sign-crew-manassas-virginia-united-states,2023-03-02T23:55:00Z
Senior Financial Internal Controls Coordinator,Full-Time (Salaried),Richmond,Mar 1 2023 at 23:55 EST,Agriculture & Consumer Svcs,https://www.jobs.virginia.gov/jobs/senior-financial-internal-controls-coordinator-richmond-virginia-united-states,2023-03-01T23:55:00Z
Cemetery Caretaker Manager,Full-Time (Salaried),Suffolk,Mar 6 2023 at 23:55 EST,Dept of Veterans Services,https://www.jobs.virginia.gov/jobs/cemetery-caretaker-manager-richmond-virginia-united-states,2023-03-06T23:55:00Z
Facilities Coordinator,Full-Time (Salaried),Richmond,Feb 24 2023 at 23:55 EST,VA Information Tech Agency,https://www.jobs.virginia.gov/jobs/facilities-coordinator-richmond-virginia-united-states-d6e56cc5-edfe-4b60-b4fa-27675b85e51f,2023-02-24T23:55:00Z
Highway Maintenance Equipment Operator,Full-Time (Salaried),Bedford County,,VA Dept of Transportation,https://www.jobs.virginia.gov/jobs/highway-maintenance-equipment-operator-bedford-county-virginia-united-states,NA
Human Resources Director,Full-Time (Salaried),Chesterfield,Mar 3 2023 at 23:55 EST,Dept of Emergency Management,https://www.jobs.virginia.gov/jobs/human-resources-director-chesterfield-virginia-united-states,2023-03-03T23:55:00Z
