Title,EmploymentType,PayBand,HiringRange,RecruitmentType,Status,ClosingDate,LocationGeneral,LocationDetail,Link
Maintenance Supervisor,Full-Time (Salaried),NA,"$41,886 - $68,065",Agency Employee Only - A,Closed,2023-03-05T23:55:00Z,Covington,Covington AHQ,https://www.jobs.virginia.gov/jobs/maintenance-supervisor-covington-virginia-united-states
Human Services Manager - #ARS00011,Full-Time (Salaried),5,"Negotiable up to $81,585.00",General Public - G,Closing soon,2023-03-08T23:55:00Z,Winchester,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/human-services-manager-ars00011-winchester-virginia-united-states
Chief of Benefits,Full-Time (Salaried),NA,"$75,000 - $90,000 annually",Agency Employee Only - A,Closed,2023-02-26T23:55:00Z,"Outside of State
  Washington
  Prince Georges, MD
  Accomac
  Albemarle County
  Alexandria
  Alleghany
  Amelia
  Amherst
  Appomattox
  Arlington
  Augusta County
  Bath
  Bedford
  Bedford County
  Bland
  Botetourt County
  Bristol
  Brunswick
  Buchanan
  Buckingham
  Buena Vista
  Campbell
  Caroline
  Carroll
  Charles City
  Charlotte Court House, Virginia
  Charlottesville
  Chesapeake
  Chesterfield
  Clarke, Virginia
  Clifton Forge
  Colonial Heights
  Covington
  Craig
  Culpepper
  Cumberland
  Danville
  Dickenson
  Dinwiddie
  Emporia
  Essex
  Fairfax
  Fairfax County
  Falls Church
  Fauquier County
  Floyd
  Fluvanna
  Franklin
  Franklin County
  Fredericksburg
  Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lancaster
  Lee
  Lexington
  Loudoun County
  Louisa
  Lunenburg
  Lynchburg
  Madison
  Manassas
  Manassas Park
  Martinsville
  Mathews
  Mecklenburg
  Melfa
  Middlesex
  Montgomery County
  Nelson
  New Kent
  Newport News
  Norfolk
  North Chesterfield
  Northampton
  Northumberland
  Norton
  Nottoway
  Orange
  Page
  Patrick
  Petersburg
  Pittsylvania
  Poquoson
  Portsmouth
  Powhatan
  Prince Edward
  Prince George
  Prince William
  Pulaski
  Radford
  Rappahannock
  Richmond
  Richmond County
  Roanoke
  Roanoke County
  Rockbridge County
  Rockingham
  Russell
  Salem
  Scott
  Shenandoah
  Smyth
  South Boston
  Southampton
  Spotsylvania
  Stafford
  Staunton
  Suffolk
  Surry
  Sussex
  Tazewell
  Virginia Beach
  Warren
  Waynesboro
  Westmoreland
  Williamsburg
  Winchester
  Wise, Virginia
  Wythe
  York

            Outside of State
  Washington
  Prince Georges, MD",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/chief-of-benefits-bristol-virginia-united-states-accomac-albemarle-county-alexandria-alleghany-amelia-amherst-appomattox-arlington-augusta-county-bath-bedford-bedford-county-bland-botetourt-c
Marine Police Officer,Full-Time (Salaried),NA,"$41,814 -$44,000",General Public - G,Open,2023-04-02T23:55:00Z,"Galax
  Giles, Virginia
  Gloucester
  Goochland
  Gordonsville
  Grayson
  Greene
  Greensville
  Halifax
  Hampton
  Hanover
  Harrisonburg
  Henrico
  Henry
  Highland
  Hopewell
  Isle Of Wight
  James City
  King & Queen
  King George
  King William
  Lexington

            Galax
  Giles, Virginia
  Gloucester",main location,https://www.jobs.virginia.gov/jobs/marine-police-officer-galax-virginia-united-states-giles-virginia-gloucester-goochland-gordonsville-grayson-greene-greensville-halifax-hampton-hanover-harrisonburg-henrico-henry-highland-hope
Operator Maintenance,Full-Time (Salaried),NA,"$35,489 - $57,669",General Public - G,Closing soon,2023-03-08T23:55:00Z,New Kent,New Kent AHQ,https://www.jobs.virginia.gov/jobs/operator-maintenance-new-kent-virginia-united-states
Employment Services Specialist Senior - #ARS00898,Full-Time (Salaried),3,"Minimum starting salary at $35,750 commensurate with experience",General Public - G,Open,NA,Accomac,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/employment-services-specialist-senior-ars00898-accomac-virginia-united-states
Web Developer - #ARS00822,Full-Time (Salaried),NA,"$38,894 - $75,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/web-developer-ars00822-henrico-virginia-united-states
Application Developer/Analyst - #ARS00225,Full-Time (Salaried),6,"$66,380 - $110,000.00",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00225-henrico-virginia-united-states
Application Developer / Analyst - #ARS00229,Full-Time (Salaried),6,"$66,380 - $110,000",General Public - G,Open,NA,Henrico,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/application-developer-analyst-ars00229-henrico-virginia-united-states
Financial Analyst,Full-Time (Salaried),5,"Commensurate with experience, up to $65,000",State Employee Only - E,Closing soon,2023-03-08T23:55:00Z,Richmond,BUDGET,https://www.jobs.virginia.gov/jobs/financial-analyst-richmond-virginia-united-states-b24d058c-13cb-4ab1-838d-b78082acd1cc
Senior Buyer,Full-Time (Salaried),NA,"$50,000 - $62,000",General Public - G,Closed,2023-03-05T23:55:00Z,Henrico,DPOR Main Office,https://www.jobs.virginia.gov/jobs/senior-buyer-henrico-virginia-united-states
Mental Health Clinician II SORT: Greensville,Full-Time (Salaried),NA,"$66,150 - $108,045",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-ii-sort-greensville-greensville-virginia-united-states
Mental Health Clinician I SORT: Greensville,Full-Time (Salaried),NA,"$55,125.00 - $77, 175.00",General Public - G,Open,NA,Greensville,Greensville Correctional Ctr,https://www.jobs.virginia.gov/jobs/mental-health-clinician-i-sort-greensville-greensville-virginia-united-states
Deputy clerk - Pre-Court - Portsmouth,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-02-28T12:00:00Z,Portsmouth,3rd Dist. CSU Portsmouth,https://www.jobs.virginia.gov/jobs/deputy-clerk-pre-court-portsmouth-portsmouth-virginia-united-states
Customer Advocate (Agency Employees Only),Full-Time (Salaried),NA,"$42,000",Agency Employee Only - A,Open,NA,"Arlington
  Charlottesville
  Fredericksburg
  Henrico
  Prince William
  Staunton
  Waynesboro

            Arlington
  Charlottesville
  Fredericksburg",VEC CENTRAL OFFICE,https://www.jobs.virginia.gov/jobs/customer-advocate-agency-employees-only-richmond-virginia-united-states
Human Resources Consultant Sr,Full-Time (Salaried),NA,"$70,310-$114,254",General Public - G,Closing soon,2023-03-06T23:55:00Z,"Roanoke
  Roanoke County
  Salem",Salem,https://www.jobs.virginia.gov/jobs/human-resources-consultant-sr-roanoke-virginia-united-states-roanoke-county-salem
Maintenance Crew Leader,Full-Time (Salaried),NA,"$43,000-$70,000",General Public - G,Closing soon,2023-03-06T23:55:00Z,Fairfax County,Merrifield Area Headquarters,https://www.jobs.virginia.gov/jobs/maintenance-crew-leader-fairfax-county-virginia-united-states
Deputy Clerk - Henry/Martinsville,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-02-24T23:55:00Z,Martinsville,CSU 21 - Martinsville CSU,https://www.jobs.virginia.gov/jobs/deputy-clerk-henry-martinsville-martinsville-virginia-united-states
Sr. IT Auditor - Internal,Full-Time (Salaried),NA,"Commensurate with experience, up to 95,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,INTERNAL AUDIT,https://www.jobs.virginia.gov/jobs/sr-it-auditor-internal-richmond-virginia-united-states
Assistant District Bridge Design Engineer,Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Closing soon,2023-03-08T00:00:00Z,Staunton,Staunton District Office,https://www.jobs.virginia.gov/jobs/assistant-district-bridge-engineer-staunton-virginia-united-states
Federal Aid and Grants Manager,Full-Time (Salaried),5,"starting at $70,000 (salary will be commensurate with experience)",General Public - G,Open,2023-03-10T23:55:00Z,Henrico,Dept of Wildlife Resources,https://www.jobs.virginia.gov/jobs/federal-aid-and-grants-manager-henrico-virginia-united-states
Environmental Health Specialist,Full-Time (Salaried),4,"$38,894 - $56,000",General Public - G,Closed,2023-03-01T23:55:00Z,"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",THREE RIVERS-NORTHUMBERLND,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-45d9fc56-e996-4061-a2d7-a5168a120c8f
Environmental Health Specialist,Full-Time (Salaried),4,"$38,894 - $56,000",General Public - G,Closed,2023-03-01T23:55:00Z,"Essex
  Gloucester
  King & Queen
  King William
  Lancaster
  Mathews
  Middlesex
  Northumberland
  Richmond County
  Westmoreland

            Essex
  Gloucester
  King & Queen",THREE RIVERS-GLOUCESTER,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-essex-virginia-united-states-gloucester-king-queen-king-william-lancaster-mathews-middlesex-northumberland-richmond-county-westmoreland
DPB Associate Director,Full-Time (Salaried),7,"$120,000 - $155,000",General Public - G,Closing soon,2023-03-06T23:55:00Z,Richmond,Dept of Planning Budget,https://www.jobs.virginia.gov/jobs/dpb-associate-director-richmond-virginia-united-states
Probation Officer,Full-Time (Salaried),NA,"Starting pay $53,183 (commensurate with experience).",General Public - G,Closing soon,2023-03-08T23:55:00Z,Alexandria,Alexandria J&DR Court,https://www.jobs.virginia.gov/jobs/probation-officer-alexandria-virginia-united-states
Communications Technician,Full-Time (Salaried),4,Negotiable and Commensurate with Experience,General Public - G,Closed,2023-02-27T23:55:00Z,North Chesterfield,"Culpeper, Virginia",https://www.jobs.virginia.gov/jobs/communications-technician-virginia-united-states-lancaster-lee-loudoun-county-louisa-lunenburg-lynchburg-madison-manassas-manassas-park-martinsville-mathe-9bde3ef7-96c1-4bf3-90ec-7b0205420ee2
"Senior Bridge Engineer, Safety Inspection – Lynchburg District",Full-Time (Salaried),NA,"$82,448 - $133,978",General Public - G,Open,2023-03-31T23:55:00Z,Lynchburg,Lynchburg District Office,https://www.jobs.virginia.gov/jobs/senior-bridge-engineer-safety-inspection-lynchburg-district-lynchburg-virginia-united-states
Maintenance Operator - NOVA Maintenance Specialty Crew - Fairfax,Full-Time (Salaried),NA,"$40,000 - $64,500",General Public - G,Closing soon,2023-03-08T23:55:00Z,Fairfax County,Burke AHQ,https://www.jobs.virginia.gov/jobs/maintenance-operator-nova-maintenance-specialty-crew-fairfax-fairfax-county-virginia-united-states
Accountant,Full-Time (Salaried),4,"Commensurate with experience, up to $48,000.",Agency Employee Only - A,Closing soon,2023-03-08T23:55:00Z,Richmond,ACCOUNTS RECEIVABLE,https://www.jobs.virginia.gov/jobs/accountant-richmond-virginia-united-states-f8a69b37-4188-4807-ba5b-a49db80a577a
Highway Maintenance Supervisor,Full-Time (Salaried),NA,"$41,886 - $68,065",General Public - G,Closing soon,2023-03-08T23:55:00Z,Albemarle County,Keene AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-supervisor-albemarle-county-virginia-united-states
Environmental Health Specialist I,Full-Time (Salaried),NA,"$38,894 - $44,100",General Public - G,Closed,2023-03-03T23:55:00Z,Fredericksburg,RAPPAHANNOCK-FREDERICKSBURG,https://www.jobs.virginia.gov/jobs/environmental-health-specialist-i-fredericksburg-virginia-united-states
DMV Customer Service Center Assistant Manager,Full-Time (Salaried),NA,"Commensurate with experience up to $56,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Williamsburg,WILLIAMSBURG CSC,https://www.jobs.virginia.gov/jobs/dmv-customer-service-center-assistant-manager-williamsburg-virginia-united-states
Project Specialist Senior -Project Manager Location and Design,Full-Time (Salaried),NA,"$78,918-$108,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Salem,Salem District Office,https://www.jobs.virginia.gov/jobs/project-specialist-senior-project-manager-location-and-design-salem-virginia-united-states
"Investigator, Tobacco Enforcement Section (OAG00422)- Northern Virginia",Full-Time (Salaried),NA,Commensurate with experience,General Public - G,Open,NA,Fairfax,NORTHERN VIRGINIA,https://www.jobs.virginia.gov/jobs/investigator-tobacco-enforcement-section-oag00422-northern-virginia-fairfax-virginia-united-states
Director of Community Engagement (Marketing & Admissions),Full-Time (Salaried),NA,"$45,000 - $90,000",General Public - G,Open,2023-03-10T23:55:00Z,Roanoke,Virginia Veterans Care Center,https://www.jobs.virginia.gov/jobs/director-of-community-engagement-marketing-admissions-roanoke-virginia-united-states
Receiver/Delivery Driver - Ft. Belvoir VIB Base Supply Store - #BVIIS175,Full-Time (Salaried),Non-Classified,"Salary Range $34,200 - $46,000",General Public - G,Open,NA,Fairfax County,Blind & Vision Impaired (NOVA),https://www.jobs.virginia.gov/jobs/receiver-delivery-driver-ft-belvoir-vib-base-supply-store-bviis175-fairfax-county-virginia-united-states
Resource Specialist -South Hill,Full-Time (Salaried),NA,"$40,000-$50,000",General Public - G,Closing soon,2023-03-07T23:55:00Z,Mecklenburg,"South Hill, Virginia",https://www.jobs.virginia.gov/jobs/resource-specialist-south-hill-mecklenburg-virginia-united-states
Executive Secretary: Buckingham Correctional Center #00004,Full-Time (Salaried),NA,"$33,000 - $46,444",General Public - G,Open,2023-03-10T23:55:00Z,Buckingham,Buckingham Correctional Center,https://www.jobs.virginia.gov/jobs/executive-secretary-buckingham-correctional-center-00004-buckingham-virginia-united-states
Talent Acquisition Specialist,Full-Time (Salaried),NA,"$75,062 to $95,000",General Public - G,Closed,2023-03-05T23:55:00Z,Suffolk,Hampton Roads District Office,https://www.jobs.virginia.gov/jobs/talent-acquisition-specialist-suffolk-virginia-united-states
Highway Maintenance Crew Member,Full-Time (Salaried),NA,"$40,000 - 53,633",General Public - G,Closing soon,2023-03-07T23:55:00Z,Louisa,Zion Crossroads AHQ,https://www.jobs.virginia.gov/jobs/highway-maintenance-crew-member-louisa-virginia-united-states
Area Forester-Southern Rivers District,Full-Time (Salaried),NA,"Starting at $40,000.00+ with benefits",General Public - G,Closing soon,2023-03-08T23:55:00Z,Halifax,Central Office Halifax,https://www.jobs.virginia.gov/jobs/area-forester-southern-rivers-district-halifax-virginia-united-states
Office Services Specialist,Full-Time (Salaried),NA,"Commensurate up to $44,625",General Public - G,Closing soon,2023-03-06T23:55:00Z,Chesterfield,12th Dist. CSU Chesterfield,https://www.jobs.virginia.gov/jobs/office-services-specialist-chesterfield-virginia-united-states
Buyer Specialist,Full-Time (Salaried),NA,"Commensurate up to $60,000",General Public - G,Closed,2023-03-02T23:55:00Z,Richmond,Central Office,https://www.jobs.virginia.gov/jobs/buyer-specialist-richmond-virginia-united-states
"Benefits Claims Specialist - Roanoke, VA",Full-Time (Salaried),NA,"Up to $55,000",Agency Employee Only - A,Closing soon,2023-03-07T23:55:00Z,Roanoke,NA,https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states-c00f5d3e-3080-47d3-9c5a-d33c252eb097
"Benefits Claims Specialist - Roanoke, VA",Full-Time (Salaried),NA,"Up to $55, 000",Agency Employee Only - A,Closing soon,2023-03-07T23:55:00Z,Roanoke,"Roanoke, VA",https://www.jobs.virginia.gov/jobs/benefits-claims-specialist-roanoke-va-roanoke-virginia-united-states
Accounts Payable Technician - AF056,Full-Time (Salaried),NA,"$40,000 - $55,000",General Public - G,Open,NA,Richmond,Washington Building,https://www.jobs.virginia.gov/jobs/accounts-payable-technician-af056-richmond-virginia-united-states
"IT Service Delivery Manager, Position No. 03299",Full-Time (Salaried),NA,"Commensurate with experience, up to $115,000",Agency Employee Only - A,Closed,2023-02-28T23:55:00Z,Richmond,IT SERVICES,https://www.jobs.virginia.gov/jobs/it-service-delivery-manager-position-no-03299-richmond-virginia-united-states
Veteran Employment Specialist (VES),Full-Time (Salaried),NA,"$40,000 - $45,000 annually",Agency Employee Only - A,Closed,2023-03-05T23:55:00Z,"Chesapeake
  Hampton
  Norfolk
  Virginia Beach

            Chesapeake
  Hampton
  Norfolk",NORFOLK,https://www.jobs.virginia.gov/jobs/veteran-employment-specialist-ves-chesapeake-virginia-united-states-hampton-norfolk-virginia-beach
CO - P0077 - Talent Management Specialist,Full-Time (Salaried),NA,"$54,480 - $65,000",General Public - G,Closed,2023-02-27T23:55:00Z,Richmond,Dept of Environmental Quality,https://www.jobs.virginia.gov/jobs/co-p0077-talent-management-specialist-richmond-virginia-united-states
Auditor,Full-Time (Salaried),NA,"$53,984 to $67,480",General Public - G,Closing soon,2023-03-08T23:55:00Z,Richmond,Annex Building,https://www.jobs.virginia.gov/jobs/auditor-richmond-virginia-united-states-e3aa5a27-1eda-410c-9085-2d3de55262c9
Counseling Center Retirement Counseling Representative (Hybrid),Full-Time (Salaried),NA,"$54,631 - $65,000",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/counseling-center-retirement-counseling-representative-hybrid-richmond-virginia-united-states
Software/Systems Administrator,Full-Time (Salaried),NA,"$66,500-$73,000",General Public - G,Closed,2023-03-02T23:55:00Z,"Williamsburg
  York",Jamestown General,https://www.jobs.virginia.gov/jobs/software-systems-administrator-williamsburg-virginia-united-states-york
Online Assistance Representative (Remote),Full-Time (Salaried),NA,"$54,361",General Public - G,Closed,2023-03-03T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/online-assistance-representative-remote-richmond-virginia-united-states
Senior Roadway Design Engineer,Full-Time (Salaried),NA,"$89,000 - $105,000",General Public - G,Open,2023-03-21T23:55:00Z,Richmond,Dept of Transportation,https://www.jobs.virginia.gov/jobs/senior-roadway-design-engineer-richmond-virginia-united-states
Data Specialist,Full-Time (Salaried),NA,"$43,000-$52,000",General Public - G,Open,2023-03-19T12:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/data-specialist-hampton-virginia-united-states
Seafood Dealer Specialist,Full-Time (Salaried),NA,"$33,000-$41,000",General Public - G,Open,2023-03-19T12:00:00Z,Hampton,main location,https://www.jobs.virginia.gov/jobs/seafood-dealer-specialist-hampton-virginia-united-states
School Safety Manager,Full-Time (Salaried),NA,"Commensurate up to $105,000; $5,000 Sign-on Bonus",General Public - G,Open,NA,Chesterfield,Bon Air JCC,https://www.jobs.virginia.gov/jobs/school-safety-manager-chesterfield-virginia-united-states
Fiscal Technician,Full-Time (Salaried),NA,"$41,000-46,000",General Public - G,Open,2023-04-21T23:55:00Z,"Rockbridge County
  Shenandoah
  Staunton
  Waynesboro

            Rockbridge County
  Shenandoah
  Staunton",Frontier Culture Museum of Va,https://www.jobs.virginia.gov/jobs/fiscal-technician-rockbridge-county-virginia-united-states-shenandoah-staunton-waynesboro
Director of Administrative Compliance,Full-Time (Salaried),NA,"$91,462 - $130,000",General Public - G,Closed,2023-02-24T23:55:00Z,Richmond,DOC Headquarters,https://www.jobs.virginia.gov/jobs/director-of-administrative-compliance-richmond-virginia-united-states
Payment Processing Supervisor,Full-Time (Salaried),NA,"$50,811-$64,555",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,DSS HOME OFFICE,https://www.jobs.virginia.gov/jobs/payment-processing-supervisor-richmond-virginia-united-states
Early Childhood Data and Research Analyst,Full-Time (Salaried),5,"$70,000 min - $90,000 max",General Public - G,Closed,2023-02-28T23:55:00Z,Richmond,VDOE James Monroe Building,https://www.jobs.virginia.gov/jobs/early-childhood-data-and-research-analyst-richmond-virginia-united-states
Deputy Clerk - Spotsylvania,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-03-03T23:55:00Z,Spotsylvania,Spotsylvania Gen Dist Ct,https://www.jobs.virginia.gov/jobs/deputy-clerk-spotsylvania-spotsylvania-virginia-united-states-afb987d4-b689-4d61-8599-9ef28f98be55
Food Operations Assistant Director: Fluvanna Correctional Center #00100,Full-Time (Salaried),NA,"$43,890 - $64,909",General Public - G,Closed,2023-02-28T23:55:00Z,Fluvanna,Fluvanna Correctional Center,https://www.jobs.virginia.gov/jobs/food-operations-director-fluvanna-correctional-center-00100-fluvanna-virginia-united-states
Financial Services Director,Full-Time (Salaried),NA,"$85,000 - $120,000",General Public - G,Closed,2023-02-26T23:55:00Z,Henrico,DPOR Main Office,https://www.jobs.virginia.gov/jobs/financial-services-director-henrico-virginia-united-states
Park Ranger Maintenance - Kiptopeke State Park,Full-Time (Salaried),NA,"$31,746 - $46,355",General Public - G,Closing soon,2023-03-06T23:55:00Z,Northampton,Kiptopeke State Park,https://www.jobs.virginia.gov/jobs/park-ranger-maintenance-kiptopeke-state-park-northampton-virginia-united-states
Chief Ranger Law Enforcement - Belle Isle State Park,Full-Time (Salaried),NA,"$40,000 - $60,289",General Public - G,Closing soon,2023-03-08T23:55:00Z,Lancaster,Belle Isle State Park,https://www.jobs.virginia.gov/jobs/chief-ranger-law-enforcement-belle-isle-state-park-lancaster-virginia-united-states
Defined Contribution Plans Administration and Services Supervisor (Hybrid),Full-Time (Salaried),NA,"$80,000 - $86,000",General Public - G,Open,2023-03-17T23:55:00Z,Richmond,Virginia Retirement System,https://www.jobs.virginia.gov/jobs/defined-contribution-plans-administration-and-services-supervisor-hybrid-richmond-virginia-united-states
Agriculture and Foreign Labor Specialist,Full-Time (Salaried),NA,"$45,000 - $55,000 annually",General Public - G,Open,NA,"Amelia
  Appomattox
  Brunswick
  Cumberland
  Emporia
  Greensville
  Henrico
  Lunenburg
  Mecklenburg
  Nottoway
  Powhatan
  Prince Edward

            Amelia
  Appomattox
  Brunswick",EMPORIA,https://www.jobs.virginia.gov/jobs/agriculture-and-foreign-labor-specialist-emporia-virginia-united-states
Deputy Clerk - Accomack,Full-Time (Salaried),NA,"negotiable to $35,923",General Public - G,Closed,2023-03-03T23:55:00Z,Accomac,2-A Dist. CSU Accomac,https://www.jobs.virginia.gov/jobs/deputy-clerk-accomack-accomac-virginia-united-states
"Regional Marketing Specialist (food, agricultural and forest products)",Full-Time (Salaried),5,"Up to $75,600 annually",General Public - G,Open,2023-03-24T23:55:00Z,Wythe,WYTHEVILLE LAB-OFFICE,https://www.jobs.virginia.gov/jobs/regional-marketing-specialist-food-agricultural-and-forest-products-wythe-virginia-united-states
Grants Specialist,Full-Time (Salaried),5,"Up to $70,000 annually",General Public - G,Closing soon,2023-03-07T23:55:00Z,Richmond,VDACS CENTRAL HEADQUARTERS,https://www.jobs.virginia.gov/jobs/grants-specialist-richmond-virginia-united-states
Director of Rehabilitation Teaching and Independent Living - #BVI00017,Full-Time (Salaried),5,"Minimum starting salary at $68,000 commensurate with exp commensurate with experience",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/director-of-rehabilitation-teaching-and-independent-living-bvi00017-henrico-virginia-united-states
Braille Transcriber - #BVI00182,Full-Time (Salaried),3,"$29,772 - $41,400",General Public - G,Open,NA,Henrico,Blind & Vision Impaired,https://www.jobs.virginia.gov/jobs/braille-transcriber-bvi00182-henrico-virginia-united-states
"Support Enforcement Specialist - Winchester, (W1222)",Full-Time (Salaried),NA,"$38,894 - $47,000, (salary commensurate with experience)",General Public - G,Closed,2023-02-27T23:55:00Z,Winchester,DCSE WINCHESTER,https://www.jobs.virginia.gov/jobs/support-enforcement-specialist-winchester-w1222-winchester-virginia-united-states
"Program Support Technician - Richmond, W1939",Full-Time (Salaried),NA,"$36,000 - $40,000 (salary commensurate with experience)",General Public - G,Closed,2023-02-27T23:55:00Z,Henrico,DCSE CENTRAL VIRGINIA,https://www.jobs.virginia.gov/jobs/program-support-technician-richmond-w1939-henrico-virginia-united-states
Human Services Manager - #ARS00005,Full-Time (Salaried),5,"Minimum starting salary at $71,663 commensurate with experience",Agency Employee Only - A,Closed,2023-02-27T23:55:00Z,Charlottesville,Aging & Rehab Svcs,https://www.jobs.virginia.gov/jobs/human-services-manager-ars00005-charlottesville-virginia-united-states
